id,sentiment
පටු පඩිපෙළ දිගේ ඉහලට නැගී තම කාමරයේ දොරින් මතු වූ ඇය සතුටින් මොර දුන්නාය,positive
මුහුදු වෙරළට එන රළපෙළ සුදු සාරියක් මෙන්ය,positive
දිනපතා පාසලට යන ශිෂ්‍යයා විභාගය හොදින් සමත්විය,positive
වලාකුළු අතරින් එබී බලන සුපුන් සද සිය රැස්දහරා පතුරවමින් අප සිත් පුබුදු කරයි,positive
රාජ කුමාරයාගේ රාජාභිෂේකය නිමිත්තෙන් රටවැසියෝ ප්‍රීතිඝෝෂා පැවැත්වුවෝය,positive
සිගිරිය අප රටට මිල කල නොහැකි අගනා වස්තුවකි,positive
තරුණ උපාසිකාව සුදු වතින් සැරසී තෙල් ද මල් ද පහන් ද රැගෙන හිමිදිරි උදැසනම ශාන්ත ගමනින් විහාරයට ගියාය,positive
මියුරු ගී පද මාලාවක් සංගීතය සමග මුසු වෙමින් දක්ෂ ගායන ශිලිපියෙකුගේ සුමුහිරි හඩින් ගීතයක් ලෙස දෙසවන වැකෙද්දී අප උනන්දුවෙන් රස විදිමු,positive
යහපත් දරුවෙකු වූ සිරිමත් පිරිසිදු ඇදුම් අදින අතර ප්‍රියමනාප සිනහවෙන් සංග්‍රහ කරමින් සියල්ලන්ම සතුටු කොට ඔවුනට මනාසේ ආදරය දැක්විය,positive
ඇය රංග භූමියේදී ඉතා සුන්දර නර්තනයක් ඉදිරිපත් කලාය,positive
මාලිනි ඇයගේ මෑණියන් ගෙනා සාරිය දැක බොහෝ සතුටු වුවාය,positive
ඉතා මිහිරි ගායනයකින් ඔහු අපගේ සිත් සන්සුන් කළේය,positive
"අමතක නොවන එක් දිනයක, මෙම ආකර්ෂණය ඇයට අරුම පුදුම ලෙෂ මනාව අවබෝධ විය",positive
වලාකුළු අතරින් එබී බලන සුපුන් සද සිය රැස්දහරා පතුරවමින් අප සිත් පුබුදු කරයි,positive
උණුසුම් විසිත්ත කාමරය පුරා තවත් නිහැඩියාවක් පැතිර ගියේය,negative
"නමුත් මෙය එතරම් සතුටුදායක පැහැදිලි කිරීමක් නොවුයේ, මේ නිසා වෙනත් ප්‍රශ්න පැන නැගුණු බැවිනි",negative
දෑසට කදුළු නැගුණ ඔහු සිතුවිලිවලට ඉබාගාතේ යාමට ඉඩ හළේය,negative
මම මල්ලි සමග පාසලට යනවිට මහා වැස්සක් කඩා හැලුනේය,negative
අන්ත දුක්ඛිත මිනිසා දහසක් දුක් ගැහැට විද විදියේ මිය ඇදුණේය,negative
සියලු ලෝකවාසීහු ලෝක යුද්ධය හේතුවෙන් අසරණ භාවයට පත් වුහ,negative
"නිසි අවධානයක් නොමැති කළ, මනස පිටුපසින් කෙලෙස් අධිවේගයකින් ඇදී අවුත් මුළු මනස ම දැඩි ව වෙළා ගනී",negative
,
,
,
"


",
